LEMMA,POS,FREQUENCY
be,v,318018
I,fw,267578
you,fw,248266
the,fw,176446
a,fw,152598
to,fw,151270
it,fw,117091
not,fw,109143
that,fw,95271
and,fw,90049
of,fw,70505
do,v,67643
have,v,62828
what,fw,62015
we,fw,61381
in,fw,58486
get,v,56906
this,fw,56116
my,fw,53316
me,fw,51927
go,v,51445
oh,u,48348
can,v,46947
no,fw,43447
on,fw,43007
for,fw,42850
know,v,40007
just,r,39366
your,fw,39164
's,fw,37343
all,fw,35728
so,r,35491
with,fw,34115
he,fw,33653
but,fw,30070
yeah,r,28499
well,r,28025
think,v,25894
here,r,25170
want,v,24829
out,r,24533
about,fw,23244
good,j,22907
come,v,22535
up,r,22171
say,v,21603
now,r,21312
at,fw,21243
one,m,21176
hey,u,21166
they,fw,21051
see,v,20925
if,fw,19770
how,r,19474
like,v,19165
she,fw,19043
look,v,18129
make,v,17038
right,j,16390
guy,n,15738
take,v,15582
let,v,15257
really,r,15209
okay,r,14801
her,fw,14759
uh,u,14667
tell,v,14661
him,fw,14270
why,r,14194
there,r,14067
who,fw,13916
time,n,13834
thing,n,12547
from,fw,12409
will,v,11923
like,r,11556
when,r,11544
as,fw,11415
because,fw,11396
some,fw,11370
our,fw,11333
yes,r,11118
there,fw,11044
back,r,10865
mean,v,10833
man,n,10340
little,j,10258
give,v,10173
his,fw,10145
us,fw,10058
them,fw,9857
need,v,9654
then,r,9584
shall,v,9411
or,fw,9272
talk,v,9197
okay,j,9098
something,fw,9075
where,r,8941
great,j,8778
way,n,8759
never,r,8620
call,v,8413
too,r,8300
by,fw,8133
sorry,j,8050
over,fw,8041
love,v,8010
wait,v,7947
more,fw,7922
down,r,7782
day,n,7704
two,m,7221
people,n,7104
God,u,7062
very,r,6974
off,fw,6967
work,v,6741
thank,v,6716
big,j,6674
try,v,6611
dad,n,6596
maybe,r,6499
feel,v,6479
friend,n,6447
even,r,6221
sure,j,6177
find,v,6172
kid,n,6056
these,fw,5950
boy,n,5937
put,v,5863
please,r,5856
happen,v,5854
much,fw,5811
stop,v,5799
night,n,5761
bad,j,5716
into,fw,5686
those,fw,5686
any,fw,5626
right,u,5623
first,m,5605
leave,v,5529
year,n,5520
hear,v,5517
right,r,5334
ever,r,5259
Mr,n,5256
again,r,5254
use,v,5245
mom,n,5205
may,v,5180
hi,u,5173
life,n,5169
nice,j,5059
new,j,5055
still,r,5024
kind,n,4928
anything,fw,4714
only,r,4704
baby,n,4676
than,fw,4671
fine,j,4571
hello,u,4554
keep,v,4549
girl,n,4526
help,v,4519
believe,v,4502
woman,n,4444
lot,n,4408
play,v,4377
ask,v,4367
start,v,4363
home,n,4348
nothing,fw,4330
hmm,u,4242
their,fw,4191
meet,v,4185
huh,u,4127
show,v,4075
around,fw,4013
guess,v,3988
old,j,3955
hell,n,3890
before,fw,3883
always,r,3868
three,m,3861
wow,u,3758
listen,v,3744
thanks,u,3726
minute,n,3718
actually,r,3706
eat,v,3701
place,n,3620
live,v,3571
away,r,3498
after,fw,3483
bring,v,3469
every,fw,3463
everything,fw,3375
money,n,3352
person,n,3351
watch,v,3351
other,j,3345
remember,v,3344
house,n,3327
wrong,j,3294
kill,v,3278
school,n,3243
everyone,fw,3242
run,v,3229
late,j,3221
care,v,3199
car,n,3191
move,v,3187
ah,u,3158
idea,n,3136
another,fw,3083
someone,fw,3080
today,r,3055
turn,v,3042
real,j,3008
happy,j,2995
whole,j,2956
week,n,2954
job,n,2948
fun,n,2933
problem,n,2931
break,v,2921
world,n,2910
which,fw,2903
must,v,2891
party,n,2855
buy,v,2827
through,fw,2810
together,r,2796
room,n,2789
family,n,2785
stay,v,2781
lose,v,2710
stuff,n,2710
son,n,2692
stupid,j,2687
name,n,2683
everybody,fw,2644
last,v,2639
long,r,2639
tonight,r,2608
child,n,2602
sit,v,2600
course,n,2585
pretty,j,2577
hold,v,2574
game,n,2534
forget,v,2519
else,r,2504
own,j,2501
five,m,2493
second,m,2491
doctor,n,2486
dollar,n,2485
enough,fw,2484
dog,n,2442
funny,j,2438
wear,v,2436
die,v,2426
sir,n,2425
hard,j,2422
honey,n,2414
sound,v,2411
sex,n,2388
hate,v,2369
suppose,v,2368
God,K,2362
head,n,2362
understand,v,2360
whoa,u,2341
movie,n,2340
worry,v,2329
cool,j,2323
marry,v,2323
miss,v,2318
pay,v,2314
hour,n,2313
crazy,j,2291
change,v,2256
hot,j,2256
most,fw,2244
excuse,v,2232
mother,n,2219
check,v,2217
pick,v,2207
word,n,2207
same,j,2200
yourself,fw,2188
ready,j,2177
seem,v,2165
win,v,2162
walk,v,2131
father,n,2108
story,n,2107
already,r,2077
hope,v,2077
part,n,2062
open,v,2059
lady,n,2056
read,v,2046
drink,v,2033
sleep,v,2030
number,n,2005
write,v,2001
morning,n,1985
tomorrow,n,1964
next,j,1947
phone,n,1945
four,m,1943
last,m,1942
once,r,1937
somebody,fw,1936
probably,r,1916
without,fw,1910
many,fw,1904
such,fw,1901
eye,n,1896
drive,v,1890
wife,n,1885
book,n,1879
hang,v,1860
since,fw,1859
throw,v,1839
name,v,1833
dead,j,1821
stand,v,1815
myself,fw,1799
aw,u,1794
dinner,n,1787
anyone,fw,1772
hand,n,1767
each,fw,1739
anyway,r,1723
television,n,1716
learn,v,1715
shut,v,1709
town,n,1709
beautiful,j,1707
both,fw,1687
date,n,1682
spend,v,1680
office,n,1673
hit,v,1668
yet,fw,1658
save,v,1656
true,j,1653
sweet,j,1649
until,fw,1642
food,n,1628
while,fw,1620
send,v,1617
high,j,1602
anymore,r,1596
also,r,1590
news,n,1572
Christmas,K,1561
ten,m,1560
ass,n,1548
business,n,1542
only,j,1539
couple,n,1534
totally,r,1532
door,n,1528
gay,j,1525
exactly,r,1523
parent,n,1521
few,fw,1516
month,n,1514
easy,j,1508
deal,n,1503
ow,u,1503
hurt,v,1495
nobody,fw,1495
OK,r,1480
perfect,j,1477
lie,v,1474
free,j,1473
young,j,1471
weird,j,1465
whatever,fw,1452
brother,n,1441
work,n,1441
kid,v,1432
ago,r,1431
end,v,1427
other,n,1426
ball,n,1413
finally,r,1413
line,n,1406
its,fw,1403
ha,u,1401
important,j,1401
fall,v,1400
heart,n,1396
long,j,1395
fat,j,1393
class,n,1388
shoot,v,1377
picture,n,1370
sell,v,1369
side,n,1366
wish,v,1365
love,n,1364
mind,n,1360
hair,n,1359
cut,v,1347
wedding,n,1342
reason,n,1339
become,v,1335
least,fw,1335
look,n,1332
bite,v,1331
fuck,v,1318
under,fw,1311
bed,n,1309
paper,n,1308
different,j,1307
catch,v,1290
mine,fw,1289
six,m,1289
set,v,1280
face,n,1274
speak,v,1268
suck,v,1260
sometimes,r,1258
city,n,1243
special,j,1234
stick,v,1225
question,n,1223
dude,n,1215
realize,v,1212
birthday,n,1209
point,n,1207
enjoy,v,1206
fact,n,1201
dance,v,1195
soon,r,1191
bar,n,1185
wonder,v,1182
joke,n,1179
relationship,n,1179
chance,n,1175
black,j,1170
almost,r,1168
fight,v,1156
card,n,1154
song,n,1154
little,fw,1148
bye,u,1147
coffee,n,1147
awesome,j,1133
sick,j,1133
apartment,n,1132
sorry,u,1127
back,n,1126
figure,v,1121
pull,v,1118
box,n,1111
dream,n,1110
water,n,1110
decide,v,1109
store,n,1107
bet,v,1106
lunch,n,1105
face,v,1103
anybody,fw,1101
afraid,j,1096
buddy,n,1096
cute,j,1090
close,j,1085
bathroom,n,1082
show,n,1081
mind,v,1076
steal,v,1073
full,j,1070
company,n,1061
front,n,1061
ahead,r,1059
moment,n,1058
case,n,1056
date,v,1050
though,fw,1050
body,n,1043
Mrs,n,1040
pants,n,1040
bitch,n,1039
promise,v,1039
glad,j,1037
kiss,v,1036
either,fw,1023
fire,v,1021
grow,v,1021
build,v,1019
table,n,1010
ticket,n,1006
matter,v,1005
teach,v,1002
cat,n,997
sister,n,997
girlfriend,n,993
hat,n,991
touch,v,991
terrible,j,990
beer,n,985
damn,u,984
mm-hmm,u,983
club,n,979
amaze,v,978
smell,v,978
gift,n,974
serious,j,974
plan,v,970
street,n,970
team,n,969
order,v,966
cry,v,964
zero,m,960
drop,v,959
act,v,958
alone,j,957
seat,n,951
eh,u,949
between,fw,947
eight,m,947
twenty,m,942
foot,n,939
seven,m,939
finish,v,937
gentleman,n,936
hand,v,935
point,v,934
blow,v,933
small,j,928
trouble,n,928
sweetie,n,922
sing,v,917
pass,v,915
beat,v,914
piece,n,913
shoe,n,913
welcome,j,911
god,n,908
white,j,901
kick,v,900
bag,n,899
fire,n,895
early,j,892
excite,v,892
wonderful,j,890
seriously,r,885
country,n,883
mouth,n,883
question,v,883
dear,j,879
quite,r,879
smart,j,876
husband,n,875
shh,u,874
invite,v,873
rest,n,871
yours,fw,871
behind,fw,866
key,n,865
end,n,864
dress,v,860
red,j,859
laugh,v,858
help,n,854
agree,v,853
machine,n,853
yep,r,850
return,v,847
space,n,844
mad,j,841
truth,n,837
ice,n,834
follow,v,833
outside,fw,828
idiot,n,827
rule,n,826
absolutely,r,825
next,r,824
against,fw,821
American,K,821
need,n,820
scare,v,819
notice,v,812
chicken,n,811
ride,v,811
music,n,809
join,v,808
next,fw,808
good-bye,u,806
ruin,v,806
war,n,801
screw,v,800
light,n,797
along,fw,790
poor,j,790
sense,n,789
able,j,788
matter,n,783
secret,n,783
fly,v,780
top,n,780
sure,r,779
fair,j,777
relax,v,776
boyfriend,n,774
plan,n,773
mistake,n,771
luck,n,769
group,n,766
daughter,n,759
college,n,757
president,n,757
far,r,754
sign,v,754
close,v,753
message,n,748
freak,v,747
fault,n,745
quick,j,744
till,fw,742
except,fw,738
single,j,734
shirt,n,733
choice,n,732
attention,n,730
power,n,730
quit,v,729
answer,n,727
trust,v,727
fifty,m,725
leg,n,725
wake,v,723
human,j,717
star,n,715
student,n,713
air,n,703
chair,n,700
gun,n,699
begin,v,692
death,n,692
tree,n,692
boss,n,689
while,n,688
present,n,687
instead,r,686
lucky,j,682
safe,j,681
cold,j,678
ahh,u,677
explain,v,676
video,n,676
brain,n,675
completely,r,673
voice,n,673
cake,n,672
drink,n,672
trip,n,671
monkey,n,670
hundred,m,669
fix,v,668
entire,j,667
expect,v,667
million,m,667
allow,v,666
forever,r,666
ugh,u,664
hide,v,662
huge,j,662
interesting,j,662
fight,n,661
roll,v,661
clothes,n,658
fast,r,657
grab,v,657
teacher,n,657
crap,n,656
animal,n,655
burn,v,654
tough,j,654
restaurant,n,652
sort,n,652
tooth,n,651
marriage,n,649
proud,j,649
uncle,n,647
push,v,646
butt,n,643
offer,v,643
lord,n,640
unless,fw,639
feeling,n,638
suit,n,636
uh-huh,u,635
floor,n,634
cream,n,629
favorite,j,629
naked,j,628
list,n,627
ring,n,625
clean,v,621
apologize,v,620
clear,j,620
Earth,K,620
share,v,620
fill,v,619
cool,u,617
pizza,n,612
ridiculous,j,612
alive,j,609
pretend,v,608
hospital,n,604
sad,j,603
bunch,n,602
half,fw,602
police,n,602
fish,n,600
window,n,599
busy,j,597
sign,n,597
call,n,595
pie,n,594
answer,v,592
raise,v,592
somewhere,r,592
sandwich,n,590
thirty,m,590
sale,n,589
choose,v,588
definitely,r,588
swear,v,588
pretty,r,585
boat,n,583
tired,j,582
ho,u,581
upset,j,578
less,fw,577
nine,m,576
thousand,m,576
smoke,v,574
embarrass,v,573
band,n,572
bear,v,572
none,fw,571
Santa,K,571
strong,j,571
law,n,570
toilet,n,570
jump,v,569
count,v,567
egg,n,566
Saturday,K,565
blue,j,564
horrible,j,564
shit,n,564
favor,n,563
handle,v,563
wall,n,563
art,n,562
cover,v,562
arm,n,561
perhaps,r,560
simple,j,560
bus,n,558
appreciate,v,556
himself,fw,556
surprise,v,556
candy,n,555
finger,n,553
worth,j,551
state,n,550
possible,j,549
rich,j,548
short,j,548
king,n,547
knock,v,547
cookie,n,545
penis,n,545
history,n,544
imagine,v,544
third,m,544
blood,n,542
drug,n,542
future,n,541
prove,v,540
surprise,n,540
alright,r,539
captain,n,539
evening,n,539
congratulations,u,538
system,n,538
record,n,534
age,n,533
deserve,v,529
normal,j,528
yesterday,n,528
jerk,n,526
yay,u,526
bird,n,525
nose,n,525
bother,v,525
fan,n,523
letter,n,523
rather,r,522
head,v,520
interested,j,519
owe,v,519
pregnant,j,519
destroy,v,516
bear,n,514
evil,j,513
milk,n,512
sport,n,511
admit,v,510
apparently,r,510
conversation,n,509
obviously,r,509
uh-oh,u,509
jacket,n,508
during,fw,507
accept,v,504
dumb,j,502
bit,n,500
consider,v,500
mention,v,500
step,v,500
deal,v,499
hungry,j,499
situation,n,499
lead,v,497
twelve,m,495
fantastic,j,494
hole,n,494
plus,fw,494
note,n,492
test,n,492
honest,j,490
character,n,489
holy,j,489
manager,n,489
lesson,n,488
soul,n,488
nope,r,487
dark,j,486
difference,n,486
wine,n,485
road,n,482
calm,v,481
personal,j,481
clown,n,480
computer,n,480
horse,n,479
gosh,u,478
mayor,n,477
inside,r,476
sexy,j,476
dirty,j,475
carry,v,474
professor,n,474
usually,r,474
bottle,n,473
cheese,n,473
summer,n,473
remind,v,472
afternoon,n,471
pee,v,471
across,fw,470
angry,j,470
fella,n,470
film,n,470
reach,v,470
shower,n,469
cup,n,468
lawyer,n,467
camera,n,465
pain,n,465
hurry,v,462
desk,n,461
monster,n,461
certainly,r,460
cop,n,460
credit,n,459
prepare,v,459
anywhere,r,458
breakfast,n,458
bastard,n,457
damn,j,456
church,n,455
hire,v,454
decision,n,452
Miss,n,451
pig,n,448
loser,n,446
robot,n,446
deep,j,445
park,n,445
chocolate,n,445
service,n,443
Jew,K,442
tape,n,440
kitchen,n,439
half,m,438
rid,v,438
grandpa,n,437
hero,n,437
shot,n,437
spot,n,437
folks,n,436
yell,v,434
awful,j,433
scene,n,433
trick,n,433
asshole,n,431
issue,n,430
lovely,j,429
visit,v,428
honor,n,428
clean,j,426
second,n,425
chick,n,424
costume,n,424
Friday,K,424
hall,n,424
Ms,n,422
fake,j,419
forgive,v,419
grade,n,419
fifteen,m,418
ought,v,417
cheat,v,416
Chinese,K,416
crap,u,414
create,v,413
comfortable,j,412
hotel,n,411
magazine,n,411
settle,v,411
accident,n,410
boob,n,409
excellent,j,409
neighbor,n,409
train,n,409
board,n,408
pop,v,408
spirit,n,408
cow,n,406
building,n,404
ear,n,404
giant,j,404
ugly,j,404
toy,n,403
cancel,v,402
Internet,K,402
strange,j,402
aunt,n,401
island,n,401
extra,j,400
fit,v,400
rock,n,400
step,n,400
action,n,399
bill,n,397
field,n,397
kiss,n,397
fresh,j,395
level,n,395
cost,v,394
size,n,394
cell,n,393
serve,v,393
shake,v,393
neck,n,392
bowl,n,392
control,n,391
loud,j,390
bedroom,n,389
check,n,389
heaven,n,389
right,n,389
commercial,n,388
draw,v,388
guest,n,388
insane,j,388
fail,v,388
cook,v,387
pleasure,n,387
truck,n,387
science,n,386
careful,j,385
nervous,j,385
although,fw,384
gas,n,384
partner,n,383
ew,u,383
scream,v,382
pool,n,381
appear,v,380
clearly,r,380
silly,j,380
feed,v,379
charge,n,377
neither,fw,377
wash,v,377
stink,v,377
magic,j,376
plane,n,376
tiny,j,376
prison,n,375
cause,v,374
photo,n,374
public,j,373
button,n,372
flower,n,372
memory,n,372
own,v,372
fast,j,371
base,v,370
involve,v,370
madam,n,370
blame,v,369
tea,n,369
whoo,u,369
bike,n,368
freeze,v,368
sexual,j,368
code,n,367
celebrate,v,366
couch,n,366
inside,fw,366
price,n,366
assume,v,365
delicious,j,365
forty,m,365
player,n,365
soup,n,365
waste,v,365
coat,n,364
doll,n,364
security,n,364
warm,j,364
football,n,363
model,n,363
whose,fw,363
besides,fw,361
middle,n,361
shop,v,361
garbage,n,360
client,n,359
ground,n,359
lame,j,359
project,n,359
dare,v,358
shop,n,358
episode,n,357
glass,n,357
green,j,357
lock,v,357
award,n,356
straight,j,356
unbelievable,j,356
court,n,355
experience,n,355
final,j,355
large,j,355
salad,n,355
belong,v,354
fuck,n,354
station,n,354
area,n,353
vote,v,353
crime,n,352
meat,n,352
romantic,j,352
treat,v,352
forward,r,351
glasses,n,351
lie,n,351
taste,v,351
weight,n,351
mail,n,350
cab,n,348
two hundred,m,348
boring,j,348
information,n,347
total,j,347
channel,n,346
page,n,346
suddenly,r,346
sake,n,345
Thanksgiving,K,345
private,j,344
French,K,343
winner,n,343
past,n,342
pen,n,342
twice,r,341
cousin,n,340
jealous,j,340
mess,v,340
planet,n,340
scary,j,340
universe,n,340
upstairs,r,340
genius,n,339
dangerous,j,338
nuts,j,337
ourselves,fw,337
race,n,336
suggest,v,336
turn,n,336
sea,n,335
officer,n,334
meal,n,333
popular,j,333
report,n,333
welcome,u,333
flight,n,332
change,n,331
driver,n,331
wheel,n,331
dump,v,329
five hundred,m,329
member,n,329
yo,u,329
add,v,328
confuse,v,328
form,n,328
government,n,328
Sunday,K,328
order,n,327
continue,v,326
event,n,326
quiet,j,326
low,j,326
color,n,325
Jewish,K,325
nah,u,323
breast,n,323
bank,n,322
parking,n,322
ride,n,322
wild,j,322
turkey,n,321
blah,u,319
thought,n,319
famous,j,318
gold,n,318
pound,n,318
skin,n,318
one hundred,m,317
rat,n,317
switch,v,317
tie,n,317
career,n,316
juice,n,316
like,fw,316
protect,v,316
shame,n,316
bottom,n,315
respect,v,315
underwear,n,315
Indian,K,315
closet,n,312
meeting,n,312
sun,n,312
afford,v,311
bald,j,311
engage,v,311
plant,n,311
towel,n,311
mall,n,310
regular,j,310
bone,n,310
dig,v,308
fear,n,308
cancer,n,306
discuss,v,306
fancy,j,306
control,v,305
advice,n,305
center,n,305
apple,n,304
everywhere,r,304
holiday,n,304
cash,n,303
common,j,303
crush,n,303
mess,n,303
peace,n,303
warn,v,303
welcome,v,303
adult,n,302
noise,n,302
rock,v,302
super,r,302
bread,n,301
fucking,r,301
porn,n,301
three hundred,m,301
type,n,301
borrow,v,300
department,n,300
plate,n,300
breathe,v,299
classic,j,299
farm,n,299
disgusting,j,298
tall,j,298
taste,n,298
replace,v,297
somehow,r,297
theater,n,297
discover,v,296
incredible,j,296
plenty,n,295
baseball,n,294
comedy,n,294
enter,v,294
introduce,v,294
whenever,fw,294
butter,n,293
possibly,r,293
sweetheart,n,293
jail,n,292
season,n,292
study,v,292
miracle,n,290
complete,j,289
golf,n,289
hook,v,289
perfectly,r,289
stare,v,289
flag,n,288
jeez,u,288
roommate,n,288
ship,n,288
wood,n,288
actor,n,287
break,n,286
prize,n,286
thanks,fw,286
corner,n,285
fourth,m,285
sneak,v,285
piss,v,284
pocket,n,284
tip,n,284
alone,r,283
lately,r,283
queen,n,283
tear,v,283
especially,r,282
lay,v,282
pressure,n,282
rip,v,282
assistant,n,281
camp,n,281
judge,n,281
North,n,281
often,r,281
Halloween,K,280
vacation,n,280
impossible,j,279
square,n,279
left,n,278
grandma,n,278
gross,j,278
pal,n,278
smile,v,278
speech,n,278
bust,v,277
gee,u,277
handsome,j,277
safety,n,277
test,v,277
community,n,277
beach,n,277
gym,n,276
toast,n,276
disease,n,274
paint,v,274
themselves,fw,274
Monday,K,272
pack,v,272
punch,v,272
customer,n,271
healthy,j,271
invent,v,271
princess,n,271
merry,j,270
someday,r,270
blind,j,269
certain,r,269
solve,v,269
study,n,269
sweater,n,269
terrific,j,269
wet,j,269
attack,n,268
beg,v,268
cigarette,n,268
sugar,n,268
uhh,u,268
weekend,n,268
damn,r,267
sock,n,267
emergency,n,266
mood,n,266
peanut,n,266
stage,n,266
tight,j,266
gum,n,265
moon,n,265
nature,n,265
program,n,265
straight,r,265
angel,n,264
corporate,j,264
damn,v,264
exist,v,264
ghost,n,264
sauce,n,264
stomach,n,264
twenty-five,m,264
block,n,263
herself,fw,263
murder,n,263
speed,n,263
Jesus,u,262
mix,v,262
track,n,262
opportunity,n,261
society,n,261
whoo-hoo,u,261
upon,fw,260
difficult,j,259
killer,n,259
lip,n,259
market,n,259
goodness,n,258
pillow,n,258
tie,v,258
arrive,v,257
mountain,n,257
slip,v,257
belt,n,256
museum,n,256
oil,n,256
press,v,256
respect,n,256
airplane,n,255
airport,n,254
honestly,r,254
contest,n,253
fabulous,j,253
spell,v,253
whoever,fw,253
bell,n,252
friendship,n,252
national,j,252
alien,n,251
dream,v,251
fool,n,251
past,fw,251
bless,v,250
cartoon,n,250
near,fw,250
swim,v,250
burger,n,249
fruit,n,249
roof,n,249
theory,n,249
according,fw,248
guilty,j,248
potato,n,248
dish,n,247
sound,n,247
uncomfortable,j,247
wrap,v,247
cheap,j,246
employee,n,246
interview,n,246
perform,v,245
spring,n,245
text,v,245
tour,n,245
treat,n,245
awkward,j,244
expensive,j,244
unfortunately,r,244
purse,n,243
charge,v,242
ha-ha,u,242
divorce,n,241
ring,v,241
bra,n,240
brown,j,240
duck,n,240
English,K,240
celebrity,n,239
double,j,239
period,n,239
rent,v,239
today,n,239
barely,r,238
bye-bye,u,238
chip,n,238
ignore,v,238
language,n,238
laundry,n,238
social,j,238
dress,n,238
soft,j,238
apology,n,237
concert,n,237
disappoint,v,237
knife,n,237
hilarious,j,236
judge,v,236
blanket,n,235
comic,j,235
leader,n,235
local,j,235
neighborhood,n,235
trap,v,235
West,n,235
bury,v,234
whore,n,234
cross,v,233
sheet,n,233
suffer,v,233
tax,n,233
bath,n,232
receive,v,232
sometime,r,232
split,v,232
soda,n,231
talent,n,231
account,n,230
convince,v,230
dessert,n,230
purpose,n,230
report,v,230
weak,j,230
cheer,v,229
move,n,229
support,v,229
research,n,228
tongue,n,228
Valentine,K,228
pill,n,227
snake,n,227
battle,n,226
license,n,226
nut,n,226
health,n,225
natural,j,225
gorgeous,j,223
steak,n,223
vagina,n,223
audience,n,222
knee,n,222
term,n,222
dance,n,221
score,n,221
sue,v,221
whether,fw,221
artist,n,220
attack,v,220
bang,v,220
bean,n,220
onto,fw,220
attractive,j,219
breath,n,219
cover,n,219
empty,j,219
lonely,j,219
painting,n,219
truly,r,219
army,n,218
avoid,v,218
gang,n,218
land,v,218
nerd,n,218
others,fw,218
slap,v,218
when,fw,218
appointment,n,217
dick,n,217
lesbian,n,217
outfit,n,217
adventure,n,216
devil,n,216
liar,n,216
nurse,n,216
pot,n,216
responsible,j,216
salesman,n,216
slow,j,216
smile,n,216
wallet,n,216
commit,v,215
example,n,215
fake,v,215
obvious,j,215
pirate,n,215
radio,n,215
chase,v,214
due,j,214
familiar,j,214
homework,n,214
birth,n,213
Canadian,K,213
favorite,n,213
prefer,v,213
rub,v,213
sky,n,213
basically,r,212
coach,n,212
deliver,v,212
laboratory,n,212
address,n,211
lift,v,211
concern,v,210
eleven,m,210
round,n,210
wish,n,210
guard,n,209
contact,n,208
over,j,208
package,n,208
travel,v,208
sixty,m,208
anniversary,n,207
cent,n,207
force,v,207
rest,v,207
spread,v,207
adorable,j,206
ocean,n,206
percent,n,206
shit,u,206
wing,n,206
above,fw,205
alcohol,n,205
crash,v,205
insurance,n,205
nuclear,j,205
pathetic,j,205
row,n,205
sight,n,205
trash,n,205
available,j,204
brave,j,204
climb,v,204
earn,v,204
East,n,204
impress,v,204
league,n,204
online,j,204
waste,n,204
within,fw,204
writer,n,204
crowd,n,203
flip,v,203
hug,n,203
drag,v,202
funeral,n,202
literally,r,202
lousy,j,202
opinion,n,202
pack,n,202
spit,v,202
van,n,202
behavior,n,201
complain,v,201
future,j,201
interest,n,201
itself,fw,201
mirror,n,201
recently,r,201
stripper,n,201
subject,n,201
bright,j,200
design,v,200
general,j,200
kidney,n,200
result,n,200
strike,n,200
corn,n,199
correct,j,199
grandmother,n,199
hug,v,199
nightmare,n,199
ours,fw,199
yellow,j,199
rise,v,199
Christian,K,199
doughnut,n,199
original,j,199
position,n,199
quarter,m,199
fool,v,198
annoy,v,197
can,n,197
match,n,197
play,n,197
traffic,n,197
actual,j,196
banana,n,196
conference,n,196
lake,n,196
medical,j,196
medicine,n,196
pray,v,196
shave,v,196
tub,n,196
bake,v,195
option,n,195
South,n,195
creepy,j,194
douchebag,n,194
eventually,r,194
interrupt,v,194
library,n,194
rude,j,194
advertisement,n,193
danger,n,193
fourteen,m,193
master,n,193
math,n,193
propose,v,193
Thursday,K,193
apart,r,192
darling,n,192
gather,v,192
mostly,r,192
support,n,192
bubble,n,191
energy,n,191
heavy,j,191
laser,n,191
manage,v,191
meanwhile,r,191
network,n,191
weapon,n,191
condition,n,190
copy,n,190
female,j,190
park,v,190
quickly,r,190
religion,n,190
snow,n,190
Tuesday,K,190
version,n,190
bomb,n,190
clear,v,189
faith,n,189
innocent,j,189
remove,v,189
survive,v,189
bee,n,188
bride,n,188
cause,n,188
fifth,m,188
several,fw,188
basketball,n,187
downtown,n,187
elephant,n,187
freak,n,187
wipe,v,187
arrest,v,186
